# Provenance is a COLUMN, one value per row, in the sixth field:
#   claim      -- the intent was written by reading the CITING SENTENCE first: the
#                 sentence fixes the work, and the locator was then found for that
#                 work.  For these rows the support test is a genuine check.
#   backfilled -- the intent is the title of the record the LOCATOR returned, so for
#                 these rows the support test asserts only that the locator agrees
#                 with itself.  This is the blind spot the round-3 review found live
#                 in `pbft`, and it is now bounded per row rather than declared as a
#                 count in this header.
# The rule by which a row got its mark: `claim` iff the locator was chosen by reading
# the sentence -- the rows corrected in the round-1 repair (derivable: their (method,
# value) differs from the batch at commit 1ada0e2) plus the two corrected this round.
# The number is COUNTED from this column by verify_refs.py, not declared here: the
# previous header carried a bare count (20) that the tree could not derive, so a
# reviewer could not run the check it described.  The number of corrected locators the
# tree can derive is 16; the two sets are not the same set, and only the column is
# checkable.
# What the column does and does not do: the MARK is still a declaration by the
# author -- no rule can recover, from a row, who wrote what when. What changes is
# that the blind spot is now per ROW and spot-checkable: a reviewer can take any row
# marked `claim`, read its citing sentence, and decide whether that record is the
# work the sentence needs. Before this column the same review question could not be
# run at all, because the split was one number in a header the rows could not confirm.
# (Columns: key, method, value, declared intent, optional author, provenance,
#  anchor -- column 7.)
# Batch 1 of the bibliography, clusters A-E. Format: key <TAB> doi|arxiv|title <TAB> value
# Every line is verified before it is cited; an unverified line is dropped, not softened.
# Batch 2 of the bibliography, clusters F-J plus the estimation-theory block.
# Column 7 (`anchor`) records how each row's anchoring was established, one value
# per row: `screen` -- the citing clause in the manuscript names the record by a
# token of its title that exactly ONE title in this corpus carries, or by one of its
# authors' surnames; `read` -- the screen cannot decide (no unique title token and no
# surname), so the clause was READ against the record by the author -- identity and
# all: the returned year, venue and authors against the entry's own line.
# The screen detects UNEARNED SILENCE, not substitution: a substitute that shares the
# record's own unique token passes it, and the selftest pins that clause as a blind
# spot. A `screen` mark is therefore a statement about the clause's vocabulary, not a
# certification of identity; the identity reads are what cover the rest.
# Sixteen rows were `screen` under the older rule (a token shared by up to two titles
# was accepted, which is how `byzantine` certified a clause about another work) and
# are `read` here: each was read against its record and every one is correctly
# anchored, so the rule changed what the instrument may assert, not any verdict.
# verify_refs.py recomputes the screen and FAILS if a mark disagrees with it or if a
# flagged row is left unread, so the column cannot drift away from the instrument.
# `detectiontheory` (a title search with no matching record) was dropped here: it is
# cited by no sentence, and an unverifiable citation must not be shipped.

snarkc	doi	10.1007/978-3-662-49896-5_11	On the Size of Pairing-Based Non-interactive Arguments	-	claim	read
zktraining	doi	10.1145/3576915.3623202	Experimenting with Zero-Knowledge Proofs of Training	-	claim	read
zkcnn	doi	10.1145/3627703.3650088	ZKML: An Optimizing System for ML Inference in Zero-Knowledge Proofs	-	claim	read
peng2011	doi	10.1126/science.1213847	Reproducible Research in Computational Science	-	backfilled	screen
neuripsrepro	arxiv	2003.12206	Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program)	-	backfilled	read
atoml	title	State of the Art: Reproducibility in Artificial Intelligence	State of the Art: Reproducibility in Artificial Intelligence	-	backfilled	read
showyourwork	doi	10.18653/v1/D19-1224	Show Your Work: Improved Reporting of Experimental Results	-	backfilled	read
provdb	doi	10.1561/1900000006	Provenance in Databases: Why, How, and Where	-	backfilled	screen
bh1995	doi	10.1111/j.2517-6161.1995.tb02031.x	Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing	-	backfilled	read
hochberg1988	doi	10.1093/biomet/75.4.800	A sharper Bonferroni procedure for multiple tests of significance	-	backfilled	read
byk2001	doi	10.1214/aos/1013699998	The control of the false discovery rate in multiple testing under dependency	-	backfilled	read
landemets	doi	10.1093/biomet/70.3.659	Discrete sequential boundaries for clinical trials	-	backfilled	read
evalues	doi	10.1214/20-AOS2020	E-values: Calibration, combination and applications	-	backfilled	read
peeking	doi	10.1145/3097983.3097992	Peeking at A/B Tests: Why it matters, and what to do about it	-	claim	screen
timeuniform	arxiv	1808.03204	Time-uniform Chernoff bounds via nonnegative supermartingales	-	backfilled	read
tsybakov	doi	10.1007/b13794	Introduction to Nonparametric Estimation	-	backfilled	read
conformalgentle	arxiv	2107.07511	A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification	-	backfilled	screen
conformalreg	doi	10.1080/01621459.2017.1307116	Distribution-Free Predictive Inference for Regression	-	backfilled	read
conformalvalid	doi	10.1007/s10994-013-5355-6	Conditional validity of inductive conformal predictors	-	backfilled	read
valiant	doi	10.1145/1968.1972	A theory of the learnable	-	backfilled	read
vc1971	doi	10.1137/1116025	On the Uniform Convergence of Relative Frequencies of Events to Their Probabilities	-	claim	screen
dkw	doi	10.1214/aoms/1177728174	Asymptotic Minimax Character of the Sample Distribution Function and of the Classical Multinomial Estimator	-	claim	screen
massart	doi	10.1214/aop/1176990746	The Tight Constant in the Dvoretzky-Kiefer-Wolfowitz Inequality	-	backfilled	screen
massey	doi	10.1080/01621459.1951.10500769	The Kolmogorov-Smirnov Test for Goodness of Fit	-	claim	read
dyba2006	doi	10.1016/j.infsof.2005.08.009	A systematic review of statistical power in software engineering experiments	-	claim	screen
hitchhiker	doi	10.18653/v1/P18-1128	The Hitchhiker’s Guide to Testing Statistical Significance in Natural Language Processing	-	backfilled	read
reportscores	doi	10.18653/v1/D17-1035	Reporting Score Distributions Makes a Difference: Performance Study of LSTM-networks for Sequence Tagging	-	claim	read
bouthillier	arxiv	2103.03098	Accounting for Variance in Machine Learning Benchmarks	-	backfilled	screen
drlrepro	doi	10.1609/aaai.v32i1.11694	Deep Reinforcement Learning That Matters	-	backfilled	read
llmjudge	arxiv	2306.05685	Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena	-	backfilled	screen
judgebias	arxiv	2305.17926	Large Language Models are not Fair Evaluators	-	backfilled	read
selfconsistency	arxiv	2203.11171	Self-Consistency Improves Chain of Thought Reasoning in Language Models	-	backfilled	screen
passk	arxiv	2107.03374	Evaluating Large Language Models Trained on Code	-	backfilled	read
agentbench	arxiv	2308.03688	AgentBench: Evaluating LLMs as Agents	-	backfilled	read
gaia	arxiv	2311.12983	GAIA: a benchmark for General AI Assistants	-	backfilled	read
swebench	arxiv	2310.06770	SWE-bench: Can Language Models Resolve Real-World GitHub Issues?	-	backfilled	read
evalharness	arxiv	2211.09110	Holistic Evaluation of Language Models	-	backfilled	read
chainofver	arxiv	2309.11495	Chain-of-Verification Reduces Hallucination in Large Language Models	-	backfilled	read
selfrefine	arxiv	2303.17651	Self-Refine: Iterative Refinement with Self-Feedback	-	backfilled	read
cot	arxiv	2201.11903	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models	-	backfilled	screen
zeroshotreason	arxiv	2205.11916	Large Language Models are Zero-Shot Reasoners	-	backfilled	read
mmlu	arxiv	2009.03300	Measuring Massive Multitask Language Understanding	-	backfilled	read
instructgpt	arxiv	2203.02155	Training language models to follow instructions with human feedback	-	backfilled	read
redteam	arxiv	2202.03286	Red Teaming Language Models with Language Models	-	backfilled	screen
propertytesting	doi	10.1145/285055.285060	Property testing and its connection to learning and approximation	-	backfilled	screen
robustopt	doi	10.1007/s101070100286	Robust optimization - methodology and applications	-	claim	screen
aqp	doi	10.1007/s41019-018-0074-4	Approximate Query Processing: What is New and Where to Go?: A Survey on Approximate Query Processing	-	backfilled	screen
onlineagg	doi	10.1145/253262.253291	Online aggregation	-	claim	screen
bandits	doi	10.1137/S0097539701398375	The Nonstochastic Multiarmed Bandit Problem	-	backfilled	screen
qbc	doi	10.1145/130385.130417	Query by committee	-	backfilled	screen
optdesign	doi	10.1093/oso/9780199296590.001.0001	Optimum Experimental Designs, with SAS	-	backfilled	read
underspec	arxiv	2011.03395	Underspecification Presents Challenges for Credibility in Modern Machine Learning	-	backfilled	screen
leaderboard	arxiv	2504.20879	The Leaderboard Illusion	-	backfilled	read
contamination	arxiv	2311.09783	Investigating Data Contamination in Modern Benchmarks for Large Language Models	-	backfilled	screen
bigbench	arxiv	2206.04615	Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models	-	backfilled	read
recsyeval	doi	10.1145/3298689.3347058	Are we really making much progress? A worrying analysis of recent neural recommendation approaches	-	claim	read
concreteproblems	arxiv	1606.06565	Concrete Problems in AI Safety	-	backfilled	read
goalmisspec	arxiv	2105.14111	Goal Misgeneralization in Deep Reinforcement Learning	-	backfilled	read
rewardoveropt	arxiv	2210.10760	Scaling Laws for Reward Model Overoptimization	-	backfilled	screen
bft	doi	10.1145/357172.357176	The Byzantine Generals Problem	-	backfilled	read
pbft	doi	10.1145/571637.571640	Practical byzantine fault tolerance and proactive recovery	-	claim	read
orderstats	doi	10.1002/0471722162	Order Statistics	-	claim	screen
extremevalue	doi	10.1007/0-387-34471-3	Extreme Value Theory: An Introduction	-	backfilled	read
quantiles	title	Sample Quantiles in Statistical Packages	Sample Quantiles in Statistical Packages	-	backfilled	screen
bootstrap	doi	10.1007/978-1-4899-4541-9	An Introduction to the Bootstrap	-	backfilled	read
wilson	doi	10.1080/01621459.1927.10502953	Probable Inference, the Law of Succession, and Statistical Inference	-	backfilled	read
clopperpearson	doi	10.1093/biomet/26.4.404	The Use of Confidence Or Fiducial Limits Illustrated in the Case of the Binomial	-	backfilled	read
neymanpearson	doi	10.1098/rsta.1933.0009	IX. On the problem of the most efficient tests of statistical hypotheses	-	backfilled	screen
fisher1922	doi	10.1098/rsta.1922.0009	On the mathematical foundations of theoretical statistics	-	backfilled	screen
student1908	doi	10.2307/2331554	The Probable Error of a Mean	-	claim	screen
vanderVaart	doi	10.1017/CBO9780511802256	Asymptotic Statistics	-	backfilled	read
permutationtests	doi	10.1007/b138696	Permutation, Parametric and Bootstrap Tests of Hypotheses	Phillip Good	claim	read
pvalues	doi	10.1007/s10654-016-0149-3	Statistical tests, P values, confidence intervals, and power: a guide to misinterpretations	-	backfilled	read
mcmcse	doi	10.1201/b10905-8	Implementing MCMC: Estimating with Confidence	-	claim	read
effectsize	doi	10.4324/9780203771587	Statistical Power Analysis for the Behavioral Sciences	-	backfilled	read
tost	doi	10.1007/BF01068419	A comparison of the Two One-Sided Tests Procedure and the Power Approach for assessing the equivalence of average bioavailability	-	backfilled	read
roc	doi	10.1148/radiology.143.1.7063747	The meaning and use of the area under a receiver operating characteristic (ROC) curve	-	backfilled	screen
costsensitive	doi	10.1145/312129.312220	MetaCost: a general method for making classifiers cost-sensitive	-	claim	screen
runtimeverif	doi	10.1007/978-3-319-75632-5_1	Introduction to Runtime Verification	-	backfilled	screen
outlierexposure	arxiv	1812.04606	Deep Anomaly Detection with Outlier Exposure	-	backfilled	screen
selective	arxiv	1705.08500	Selective Classification for Deep Neural Networks	-	backfilled	screen
mltesting	arxiv	1906.10742	Machine Learning Testing: Survey, Landscapes and Horizons	-	backfilled	read
