# Ground-truth annotation — issue #57 Multi-Agent in the Wild (R106, axis i only)
# FULL-POPULATION H1 gold standard: axis i for all remaining 56 Tier B repos.
# Combined with R104 (10) + R105 (20) = all 86 Tier B repos annotated on axis i.
# Annotator: how2how2how2-arch. Evidence: README self-description + framework
# deps + agent-ish dirs (+ deep README probes for uncertain cases, marked P).
# Axis i = SINGLE|MULTI|UNKNOWN (model-instance structure).
# boundary=1 cells are re-verified in pass_b_r106.tsv (2-pass protocol).
# v2 mismatch column records classifier disagreement (for the held-out measure).
repo	axis	label	boundary	v2	evidence
ANative-Lab/EvoAgentX	i	MULTI	1	SINGLE	"Building a Self-Evolving Ecosystem of AI Agents" — known multi-agent evolution framework
MemMachine/MemMachine	i	SINGLE	1	MULTI	"open-source memory layer for AI agents" — infra (like mem0/MemOS); langchain dep is incidental
SenteLabsAI/OpenExecutive	i	MULTI	1	SINGLE	"single coherent executive voice backed by eight specialist AI agents" (CSO/CFO/CHRO/GC/COO/CMO...)
fuxicodex/Fuxi	i	SINGLE	0	SINGLE	single terminal coding agent (provider-agnostic)
wang2122/sprix-sage-router	i	SINGLE	0	SINGLE	mid-execution rerouting for A2A networks; routing infra (decides who works with whom, runs no agents itself)
alejandrobalderas/claude-code-from-source	i	SINGLE	0	SINGLE	educational book about Claude Code internals; documentation
AGI-Edgerunners/LLM-Agents-Papers	i	SINGLE	0	SINGLE	papers list; not a system
langfengQ/verl-agent	i	SINGLE	0	SINGLE	RL training framework for LLM agents (Group-in-Group Policy Optimization); training infra
satellitecomponent/Neurite	i	MULTI	1	SINGLE	"Multi-Agent UI": connect/manage multiple AI nodes, graph-based multi-agent conversation (probe P)
Dicklesworthstone/mcp_agent_mail	i	SINGLE	0	SINGLE	mail-like coordination layer FOR coding agents (FastMCP server); infra/communication layer
chrisworsey55/atlas-gic	i	MULTI	1	SINGLE	ATLAS Agents platform: 25 agents, agent leaderboard, copy-trading; multi-agent service
jd-opensource/OxyGent	i	MULTI	1	SINGLE	"modular multi-agent framework... build, deploy, and evolve AI teams"; agents decompose tasks/negotiate (probe P)
